y,lag1,lag2,lag3,lag4,lag5,volprev,date
1,-0.0343,-0.0379,-0.0033,0.0065,-0.0367,208219.09,2017-06-14 00:00:00
1,0.1223,-0.0343,-0.0379,-0.0033,0.0065,139970.25,2017-06-13 00:00:00
1,0.0179,0.1223,-0.0343,-0.0379,-0.0033,96350.41,2017-06-12 00:00:00
1,0.0304,0.0179,0.1223,-0.0343,-0.0379,173094.22,2017-06-11 00:00:00
0,0.0341,0.0304,0.0179,0.1223,-0.0343,60133.63,2017-06-10 00:00:00
0,-0.0148,0.0341,0.0304,0.0179,0.1223,70361.23,2017-06-09 00:00:00
0,-0.0106,-0.0148,0.0341,0.0304,0.0179,55734.46,2017-06-08 00:00:00
1,-0.0225,-0.0106,-0.0148,0.0341,0.0304,74261.01,2017-06-07 00:00:00
1,0.0215,-0.0225,-0.0106,-0.0148,0.0341,91839.73,2017-06-06 00:00:00
0,0.0037,0.0215,-0.0225,-0.0106,-0.0148,137937.08,2017-06-05 00:00:00
0,-0.0826,0.0037,0.0215,-0.0225,-0.0106,71463.08,2017-06-04 00:00:00
0,-0.0259,-0.0826,0.0037,0.0215,-0.0225,55209.45,2017-06-03 00:00:00
0,-0.003,-0.0259,-0.0826,0.0037,0.0215,60842.08,2017-06-02 00:00:00
0,-0.0367,-0.003,-0.0259,-0.0826,0.0037,69829.43,2017-06-01 00:00:00
0,-0.0158,-0.0367,-0.003,-0.0259,-0.0826,107039.9,2017-05-31 00:00:00
1,-0.0567,-0.0158,-0.0367,-0.003,-0.0259,97573.5,2017-05-30 00:00:00
0,0.0123,-0.0567,-0.0158,-0.0367,-0.003,107557.05,2017-05-29 00:00:00
0,-0.0206,0.0123,-0.0567,-0.0158,-0.0367,84937.51,2017-05-28 00:00:00
0,-0.0255,-0.0206,0.0123,-0.0567,-0.0158,89794.46,2017-05-27 00:00:00
